Longitude,Latitude
-0.092865,51.510182
-0.078127,51.512135
-0.08162,51.516814
-0.102741,51.513885
-0.08162,51.516814
-0.084967,51.512598
-0.083993,51.51144
-0.083993,51.51144
-0.083993,51.51144
-0.080034,51.513389
-0.089364,51.515331
-0.083296,51.517058
-0.093057,51.520085
-0.076031,51.509547
-0.087486,51.519896
-0.08162,51.516814
-0.101073,51.513453
-0.09172,51.513454
-0.09172,51.513454
-0.084284,51.510671
-0.092077,51.512147
-0.079613,51.517231
-0.084967,51.512598
-0.084967,51.512598
-0.08776,51.517149
-0.084967,51.512598
-0.088766,51.51962
-0.093257,51.51392
-0.111962,51.518494
-0.111962,51.518494
-0.091732,51.52108
-0.089451,51.517032
-0.094628,51.514203
-0.094628,51.514203
-0.08162,51.516814
-0.08162,51.516814
-0.088042,51.511794
-0.079786,51.517576
-0.08531,51.518511
-0.080665,51.509344
-0.073515,51.510414
-0.098572,51.516767
-0.076435,51.513627
-0.088843,51.509532
-0.081516,51.510014
-0.088843,51.509532
-0.101073,51.513453
-0.074958,51.514151
-0.077392,51.516233
-0.093493,51.513447
-0.080952,51.514528
-0.08162,51.516814
-0.080665,51.509344
-0.080376,51.517244
-0.093933,51.519812
-0.104909,51.517912
-0.08162,51.516814
-0.080146,51.514848
-0.088614,51.516371
-0.094628,51.514203
-0.104252,51.516733
-0.091494,51.510924
-0.104887,51.516347
-0.102794,51.515037
-0.081549,51.511625
-0.108231,51.513928
-0.080573,51.516006
-0.076435,51.513627
-0.080376,51.517244
-0.080573,51.516006
-0.084768,51.512882
-0.082628,51.518189
-0.100632,51.515739
-0.095015,51.51322
-0.084768,51.512882
-0.112519,51.517568
-0.093398,51.512951
-0.093398,51.512951
-0.0954,51.515753
-0.097645,51.515142
-0.094094,51.515606
-0.092077,51.512147
-0.097973,51.512108
-0.078806,51.516193
-0.093057,51.520085
-0.086051,51.513569
-0.080376,51.517244
-0.076435,51.513627
-0.086175,51.510945
-0.076095,51.512462
-0.076095,51.512462
-0.079613,51.517231
-0.079613,51.517231
-0.093933,51.519812
-0.088614,51.516371
-0.09596,51.517534
-0.094628,51.514203
-0.084967,51.512598
-0.080376,51.517244
-0.093933,51.519812
-0.093215,51.510421
-0.075411,51.516047
-0.08162,51.516814
-0.082722,51.518029
-0.077392,51.516233
-0.097053,51.518262
-0.091506,51.513037
-0.080376,51.517244
-0.083972,51.510549
-0.085833,51.513952
-0.09586,51.52166
-0.081938,51.513007
