Address,Price,Property Type,Bedrooms,Bathrooms,Size
"Macaulay Road, London","£380,000",Flat,2,1,607 sq ft
Brookside,"£384,999",Apartment,2,1,Ask agent
"Kilburn Lane, Queens Park, W10 4BA","£384,950",Flat,1,1,Ask agent
"Royal Eden Dock, Canary Wharf, London, E16","£383,000",Studio,N/A,1,493 sq ft
"St. Johns Court, Isleworth","£382,500",Maisonette,2,1,Ask agent
"Arniston Way, Perseus Court, E14","£380,800",Apartment,1,1,549 sq ft
"6 Pegler Square
Kidbrooke Village
Greenwich, London
SE3 9GR","£380,625",Flat,2,N/A,Ask developer
"Stainsby Road, London, E14","£380,000",Flat,1,1,592 sq ft
"Distillery Tower, 1 Mill Lane, London, SE8","£380,000",Apartment,2,2,769 sq ft
"Ladbrook Road, London","£380,000",Terraced,3,1,Ask agent
"Library Street, London, Greater London","£380,000",Apartment,1,1,Ask agent
"Singapore Road, Ealing","£380,000",Flat,1,1,Ask agent
"Peartree Way, North Greenwich, London, SE10","£380,000",Flat,1,1,591 sq ft
"Cheviot Close, Enfield","£380,000",Maisonette,2,1,Ask agent
"Stromness Walk, London","£380,000",Flat,1,1,549 sq ft
"Braemar Avenue, Neasden, London, NW10","£380,000",Maisonette,3,1,800 sq ft
"Harlesden Gardens, Harlesden","£380,000",Flat,2,1,Ask agent
"Pegler Square, Kidbrooke","£380,000",Flat,1,1,Ask agent
"Westcott Road, London, SE17","£380,000",Flat,1,1,Ask agent
"Twickenham Road, Teddington","£380,000",Apartment,1,1,Ask agent
"Elsinore House, Denmark Road, Camberwell, London, SE5","£380,000",Apartment,2,1,667 sq ft
"The Beacon, Greenwich Peninsula, SE10","£380,000",Studio,N/A,1,458 sq ft
"Montmorency Gardens, London, N11 1FN","£380,000",Apartment,1,N/A,582 sq ft
"Commander Avenue, Beaufort Park, Colindale, NW9","£380,000",Apartment,1,1,593 sq ft
"Picture House, 7 Streatham High Road, SW16","£380,000",Apartment,1,1,858 sq ft
"Wards Wharf Approach, Royal Wharf, E16","£375,000",Apartment,2,2,Ask agent
"41 Millharbour, Canary Wharf, E14","£380,000",Apartment,1,1,Ask agent
"Blackstock Road, Finsbury Park","£380,000",Apartment,2,1,Ask agent
"Beulah Hill, London","£380,000",Apartment,2,1,Ask agent
"Somerset Road, Ealing","£380,000",Apartment,N/A,1,507 sq ft
"Thunderer Walk, London, SE18","£380,000",Flat,N/A,1,412 sq ft
"Woolridge Way, Loddiges Road, London","£380,000",Apartment,2,1,Ask agent
"10B Salisbury Mews, London SW6 7DS","£380,000",Flat,1,N/A,Ask agent
"Pendant Court, Silvertown, London, E16","£380,000",Flat,1,1,596 sq ft
"Ferry Quays, Brentford Riverside, TW8","£380,000",Apartment,2,1,765 sq ft
"Leabank Square, Hackney, London, E9","£380,000",Flat,2,1,566 sq ft
"Drift Court, Basin Approach,","£380,000",Flat,2,2,800 sq ft
"Forest Lane, London, E15","£380,000",Penthouse,2,2,Ask agent
"Mennie House, Gilbert Close, London, SE18","£380,000",Apartment,2,2,Ask agent
"Uxbridge Road, Acton","£380,000",Flat,1,1,Ask agent
"Ballarat House, Ealing, W13","£380,000",Apartment,1,1,Ask agent
"Botha Road Plaistow, London","£380,000",Terraced,3,1,Ask agent
"Somerset Road, Ealing","£380,000",Flat,N/A,1,Ask agent
"41 Millharbour, London, E14","£380,000",Apartment,1,1,519 sq ft
"Queensland Road, N7 7FE","£380,000",Apartment,1,1,527 sq ft
"Mount Nod Road, Streatham","£380,000",Maisonette,1,1,Ask agent
"Hotspur Street, Kennington, London, SE11","£380,000",Flat,1,1,500 sq ft
"Glamis Place, Wapping, London, E1W","£380,000",Flat,1,1,552 sq ft
"West Row, W10","£380,000",Apartment,1,1,398 sq ft
"7 Cyrus Field Street, Greenwich, SE10","£380,000",Flat,1,1,Ask agent
"Moore House, Grosvenor Waterside, 2 Gatliff Road, London, SW1W","£380,000",Studio,N/A,1,271 sq ft
"Moore House, Grosvenor Waterside, 2 Gatliff Road, London, SW1W","£380,000",Flat,N/A,1,271 sq ft
Portland Crescent London SE9,"£380,000",Maisonette,2,1,602 sq ft
"Tudor Road, Hackney, E9","£380,000",Flat,1,1,Ask agent
"2 Batley Road, London, N16","£380,000",Flat,1,1,Ask agent
"Stepney Way, Stepney, London, E1","£380,000",Flat,2,1,676 sq ft
"Artillery Place, London","£380,000",Apartment,2,1,Ask agent
"Peldon Walk, Angel, Islington, N1","£380,000",Apartment,1,1,Ask agent
"Somerset Road, Ealing, London, W13","£380,000",Flat,1,1,518 sq ft
"Pepys Court, Love Lane, SE18 6GZ, London, SE18 6GZ","£380,000",Flat,2,1,Ask agent
"Somerset Road, London, W13 9","£380,000",Studio,N/A,1,518 sq ft
"Donaldson Road, London, London, SE18 3JZ","£380,000",Terraced,3,1,Ask agent
"Edgware Road, Colindale, London, NW9","£380,000",Apartment,1,1,Ask agent
"Palmers Road, London","£380,000",Flat,2,1,Ask agent
"Merton Road, London, SW19","£380,000",Apartment,2,N/A,Ask agent
"Blackwall Way, East India, London, ., E14 9GW","£380,000",Flat,2,2,Ask agent
"Squires Lane, Finchley, London, N3","£380,000",Apartment,1,1,Ask agent
"Pier Way, 
Woolwich, 
SE28 0FH","£380,000",Apartment,1,1,549 sq ft
"Empire Square West, Empire Square, London, SE1","£380,000",Apartment,1,1,Ask agent
"Dorchester Court, Southgate, N14","£380,000",Flat,2,1,Ask agent
"Linnet House, Dunedin Road, Leyton, London, E10","£380,000",Flat,1,1,802 sq ft
"Crown Dale, Crystal Palace, SE19","£380,000",Apartment,2,1,Ask agent
"Manor Gardens, Islington","£380,000",Flat,1,1,Ask agent
"Angel Waterside, Graham Street, London, N1","£380,000",Flat,N/A,1,438 sq ft
"Woodside Green, London, SE25","£375,000",Terraced,2,1,Ask agent
"Peartree Way, Greenwich, London, SE10","£380,000",Flat,1,1,570 sq ft
"Marcia Road, Bermondsey, London, SE1","£380,000",Flat,1,1,567 sq ft
"Granary Mansions, SE28","£380,000",Flat,2,2,Ask agent
"Meadowlark House
Moorhen Drive off Perryfield Way
London
NW9 7DL","£380,000",Apartment,1,N/A,Ask developer
"Grenfell Road, Tooting","£380,000",Maisonette,1,1,Ask agent
"Cambridge Heath, Bethnal Green, London, E2","£380,000",Flat,2,1,589 sq ft
"Tewkesbury Road, Ealing, W13","£380,000",Apartment,1,1,480 sq ft
"Spa Hill, London, SE19","£380,000",Maisonette,2,1,Ask agent
"Burton Road, London, Greater London, SW9","£380,000",Ground Flat,1,1,532 sq ft
"Lady Anne Court, Queen Mary Avenue, London","£380,000",Apartment,2,2,Ask agent
"Sales and Marketing Suite address:
Imperial Building,
No.2 Duke of Wellington Avenue,
London, Royal Arsenal Riverside
SE18 6FR","£380,000",Apartment,1,1,490 sq ft
"Fifth Avenue, Manor Park, London","£380,000",Terraced,3,2,Ask agent
"Kirkwall House, Churchfield Road, Acton, W3 6LQ","£380,000",Flat,1,1,Ask agent
"Neutron Tower, Canary Wharf, E14","£380,000",Flat,2,2,689 sq ft
"Terry Spinks Place, London, E16","£380,000",Flat,1,1,Ask agent
"Millharbour, London","£380,000",Flat,1,1,Ask agent
"Macaulay Road, London","£380,000",Flat,2,1,Ask agent
"Marlowe Road, Walthamstow","£380,000",Apartment,1,1,549 sq ft
"Empire Square West, Empire Square, London, SE1","£380,000",Apartment,1,1,Ask agent
"Somerset Road, West Ealing","£380,000",Studio,N/A,1,Ask agent
"Cline Road, Bounds Green, London, N11","£380,000",Flat,2,2,711 sq ft
"Distillery Tower, 1 Mill Lane, SE8","£380,000",Apartment,2,2,769 sq ft
"Beulah Hill, London, SE19","£380,000",Apartment,2,1,Ask agent
"Riggindale Road, London, SW16","£375,000",Apartment,2,1,Ask agent
"Marcia Court, Marcia Road, Bermondsey SE1","£380,000",Flat,1,N/A,Ask agent
"Hither Green Lane, Hither Green, Lewisham, London, SE13","£380,000",Flat,2,2,Ask agent
"Romulus Court, Brentford Dock, Brentford","£380,000",Apartment,2,1,Ask agent
"Donaldson Road, Plumstead","£380,000",End of Terrace,3,1,Ask agent
"Hatherley Grove, London, W2","£380,000",Flat,1,1,546 sq ft
"Copley Close, Hanwell","£380,000",Flat,2,1,Ask agent
"Johnson Street, London, E1","£380,000",Flat,3,1,Ask agent
"Brick Farm Close, West Hall Road, Kew, Richmond, Surrey TW9","£380,000",Ground Flat,1,1,460 sq ft
"Isledon Road, N7 7LP","£380,000",Flat,1,1,370 sq ft
"Jamaica Road, Shad Thames, London, SE1","£380,000",Flat,1,1,509 sq ft
"High Road Leytonstone, London","£380,000",Terraced,2,1,Ask agent
"Southside Apartments, 183 Lower Richmond Road, Richmond","£380,000",Apartment,1,1,642 sq ft
"Rotherhithe Street, Rotherhithe, SE16","£380,000",Apartment,2,1,Ask agent
"George Lane, Lewisham, SE13 6","£380,000",Flat,2,1,Ask agent
"Crescent Road, North Chingford, E4","£380,000",Apartment,2,1,Ask agent
"Don Phelan Close, London","£380,000",Maisonette,2,2,Ask agent
"Caledonian Road, Islington, N7","£380,000",Apartment,1,1,417 sq ft
