Posta Kodu Tek,latitude,longitude
AB10,57.135236904903415,-2.1203144502228826
AB11,57.13921037205651,-2.0929197959183674
AB12,57.10201673489519,-2.1127225869297166
AB13,57.10770586170213,-2.235035170212766
AB14,57.10051681818182,-2.271415132867133
AB15,57.13765874141049,-2.169277323688969
AB16,57.160047362337664,-2.156704596103896
AB21,57.20828779802956,-2.200854357142857
AB22,57.186688357142856,-2.122760537267081
AB23,57.21278628059702,-2.0888054059701493
AB24,57.16398306364749,-2.1079817503059974
AB25,57.15274448565574,-2.1142453647540984
AB30,56.84642442236025,-2.478005108695652
AB31,57.07298318015267,-2.5221881190839697
AB32,57.15498309809264,-2.317693493188011
AB33,57.22559110332104,-2.7408288413284136
AB34,57.093596,-2.8113486286764706
AB35,57.038279418181816,-3.1508797212121213
AB36,57.19718661702127,-3.06831970212766
AB37,57.32673212500001,-3.352811352272727
AB38,57.48609083950617,-3.226441703703703
AB39,56.98124715934066,-2.215603926739927
AB41,57.37386335108959,-2.1048083934624695
AB42,57.5010879176,-1.892588332
AB43,57.65723746928104,-2.04406288496732
AB44,57.66826679452054,-2.492298178082192
AB45,57.65178257748776,-2.5681761598694943
AB51,57.287918755204,-2.4037328834304748
AB52,57.343832406374496,-2.608774844621514
AB53,57.5250483090379,-2.3937596501457725
AB54,57.454004752655536,-2.7617258239757208
AB55,57.52500044131455,-2.9885004248826292
AB56,57.67438107009345,-2.9289556464174455
AB99,57.111341,-2.093992
AL1,51.748926474074075,-0.32374837283950614
AL10,51.76026842875318,-0.23248841221374048
AL2,51.71899921340629,-0.33562845143638853
AL3,51.78045576390346,-0.37776456873032527
AL4,51.774059008951404,-0.295024057544757
AL5,51.815821114366734,-0.35234385160680526
AL6,51.83219419329389,-0.19987511637080868
AL7,51.79688265931643,-0.18716928555678058
AL8,51.80358099529412,-0.21181280705882352
AL9,51.74430557575757,-0.19747420046620046
B1,52.479814517799355,-1.9094775048543688
B10,52.46959097468355,-1.8523674778481012
B11,52.454439313114754,-1.8579949934426232
B12,52.46090880379747,-1.883757594936709
B13,52.43750324148148,-1.8789569185185186
B14,52.417361446313066,-1.8898312690815007
B15,52.46635038492872,-1.9232205112016294
B16,52.477218291999996,-1.934093368
B17,52.46122144864865,-1.958721354954955
B18,52.491152252699784,-1.9254950734341254
B19,52.49708542222222,-1.9056737622222222
B2,52.48916606793478,-1.8966450027173913
B20,52.51553235714285,-1.9192476616541354
B21,52.506889860091746,-1.9414511605504587
B23,52.528494954161644,-1.8552166296743064
B24,52.51971540311418,-1.8270478633217992
B25,52.46496383274021,-1.822006053380783
B26,52.46154049300699,-1.7886656223776223
B27,52.444509976798145,-1.8227730139211138
B28,52.427530394389436,-1.8431563679867986
B29,52.43763012967581,-1.947668770573566
B3,52.48499275242718,-1.9026639708737865
B30,52.42201451894563,-1.9277238467874793
B31,52.40804246246765,-1.9737057670405522
B32,52.44844900262467,-1.994529368766404
B33,52.48034222943723,-1.7884139696969699
B34,52.49641332515337,-1.7817039018404908
B35,52.51891789726027,-1.7888428184931504
B36,52.50417559722222,-1.7785610711805555
B37,52.47841249932157,-1.7421705237449117
B38,52.39986161571125,-1.934774050955414
B4,52.48571386729858,-1.8932608815165877
